Observer,Date,Time,Pig,With/To,Behavior,Location,Notes,GPS,Start,Stop
AJ,9/23/22,9:30:13 AM,Bates,No Value,Grunt,,,,0,0
AJ,9/23/22,9:30:24 AM,Atlas,No Value,Grunt,,,,0,0
AJ,9/23/22,9:31:16 AM,Bates,No Value,,,,,0,1
AJ,9/23/22,9:31:38 AM,Dora,Bates,Lay.touch.consp,,,,1,0
AJ,9/23/22,9:32:06 AM,Dora,Georgie,Lay.touch.consp,,,,0,0
AJ,9/23/22,9:32:20 AM,Dora,Atlas,Rest.proxim,,,,0,0
AJ,9/23/22,9:37:01 AM,Dora,No Value,,,,,0,1
AJ,9/23/22,9:43:17 AM,Imogen,No Value,Root,,,,1,0
AJ,9/23/22,9:43:37 AM,Imogen,No Value,Travel,,,,0,0
AJ,9/23/22,9:44:01 AM,Imogen,No Value,Pee,,,,0,0
AJ,9/23/22,9:44:09 AM,Imogen,No Value,Gets.disp,,displaced by pig not in study see photo,,0,0
AJ,9/23/22,9:44:46 AM,Imogen,No Value,Rest,,resting by herself in  the trees,,0,0
AJ,9/23/22,9:45:59 AM,Imogen,No Value,Wag.tail,,,,0,0
AJ,9/23/22,9:46:34 AM,Imogen,No Value,Root,,,,0,0
AJ,9/23/22,9:46:46 AM,Imogen,No Value,Travel,,,,0,0
AJ,9/23/22,9:46:54 AM,Imogen,No Value,Travel,,avoided the pig who displced her,,0,0
AJ,9/23/22,9:47:49 AM,Imogen,No Value,Rest,,,,0,0
AJ,9/23/22,9:49:29 AM,Imogen,No Value,,,,,0,1
AJ,9/23/22,9:50:26 AM,Rebel,No Value,,,,,1,0
AJ,9/23/22,9:50:39 AM,Rebel,No Value,Pee,,,,0,0
AJ,9/23/22,9:50:57 AM,Rebel,No Value,Root,,,,0,0
AJ,9/23/22,9:51:29 AM,Rebel,No Value,Travel,,,,0,0
AJ,9/23/22,9:51:54 AM,Rebel,No Value,Eat,,,,0,0
AJ,9/23/22,9:54:23 AM,Rebel,No Value,Wag.tail,,,,0,0
AJ,9/23/22,9:56:03 AM,Rebel,No Value,,,,,0,1
AJ,9/23/22,10:00:06 AM,Eleanor,No Value,Rest,,,,1,0
AJ,9/23/22,10:02:23 AM,Eleanor,No Value,Wag.tail,,,,0,0
AJ,9/23/22,10:04:47 AM,Eleanor,No Value,Rest,,,,0,1
AJ,9/23/22,10:05:05 AM,Horatio,No Value,Rest.proxim,,oreo pig not in study,,1,0
AJ,9/23/22,10:10:10 AM,Horatio,No Value,Rest,,,,0,1
AJ,9/23/22,10:17:20 AM,Bates,No Value,Rest,,,,1,0
AJ,9/23/22,10:18:55 AM,Bates,No Value,Travel,,,,0,0
AJ,9/23/22,10:19:05 AM,Bates,No Value,,,went to lay with another pig under the barn,,0,0
AJ,9/23/22,10:22:02 AM,Bates,No Value,Grunt,,,,0,0
AJ,9/23/22,10:22:26 AM,Bates,No Value,Rest,,,,0,1
AJ,9/23/22,11:36:27 AM,Wilbur,No Value,Eat,,,,1,0
AJ,9/23/22,11:37:14 AM,Wilbur,No Value,Wag.tail,,,,0,0
AJ,9/23/22,11:41:54 AM,Wilbur,No Value,Eat,,,,0,1
AJ,9/23/22,11:45:05 AM,Bianca,No Value,Eat,,,,1,0
AJ,9/23/22,11:45:16 AM,Bianca,No Value,Wag.tail,,,,0,0
AJ,9/23/22,11:46:42 AM,Bianca,No Value,Travel,,,,0,0
AJ,9/23/22,11:47:11 AM,Bianca,No Value,Poop,,,,0,0
AJ,9/23/22,11:47:30 AM,Bianca,No Value,Travel,,,,0,0
AJ,9/23/22,11:48:10 AM,Bianca,No Value,got in water puddle,,,,0,0
AJ,9/23/22,11:48:33 AM,Bianca,No Value,Drink,,,,0,0
AJ,9/23/22,11:50:04 AM,Bianca,No Value,Rest,,in water,,0,1
AJ,9/30/22,9:29:21 AM,Georgie,No Value,Grunt,,,,1,0
AJ,9/30/22,9:29:45 AM,Georgie,No Value,Yawn.not.contaig,,,,0,0
AJ,9/30/22,9:30:30 AM,Georgie,No Value,Travel,,,,0,0
AJ,9/30/22,9:31:48 AM,Georgie,No Value,Rest,,,,0,0
AJ,9/30/22,9:33:14 AM,Georgie,No Value,Grunt,,,,0,0
AJ,9/30/22,9:34:23 AM,Georgie,No Value,Rest,,,,0,1
