Observer,Date,Time,Pig,PigID,Trauma,Group,Sex,With/To,Behavior,Location,Notes,Start,Stop
NS,10/21/22,13:56:23,Kitty,12,Y,B,F,No Value,Rest,"30.014753,-97.305888",,0,1
AJ,9/23/22,9:00:42 AM,Thomas,18,N,Y,M,No Value,Grunt,,,1,0
AJ,9/23/22,9:01:05 AM,Thomas,18,N,Y,M,No Value,Travel,,,0,0
AJ,9/23/22,9:01:31 AM,Thomas,18,N,Y,M,No Value,Poop,,,0,0
AJ,9/23/22,9:01:57 AM,Thomas,18,N,Y,M,No Value,Pee,,,0,0
AJ,9/23/22,9:02:41 AM,Thomas,18,N,Y,M,No Value,Wag.tail,,,0,0
AJ,9/23/22,9:03:37 AM,Thomas,18,N,Y,M,No Value,Travel,,,0,0
AJ,9/23/22,9:04:37 AM,Thomas,18,N,Y,M,Georgie,Snout.touch,,,0,0
AJ,9/23/22,9:05:40 AM,Thomas,18,N,Y,M,No Value,Rest,,,0,0
AJ,9/23/22,9:06:58 AM,Georgie,8,Y,Y,F,No Value,Nudge.ground ,,,1,0
AJ,9/23/22,9:07:12 AM,Georgie,8,Y,Y,F,No Value,Travel,,,0,0
AJ,9/23/22,9:07:23 AM,Georgie,8,Y,Y,F,No Value,Drink,,,0,0
AJ,9/23/22,9:07:52 AM,Georgie,8,Y,Y,F,No Value,Travel,,,0,0
AJ,9/23/22,9:08:42 AM,Georgie,8,Y,Y,F,Dora,Rest.proxim,,,0,0
AJ,9/23/22,9:12:09 AM,Georgie,8,Y,Y,F,Atlas,Rest.proxim,,,0,0
AJ,9/23/22,9:12:22 AM,Georgie,8,Y,Y,F,Bates,Rest.proxim,,,0,1
AJ,9/23/22,9:14:22 AM,Rebel,17,Y,Y,M,No Value,Nudge.ground ,,,1,0
AJ,9/23/22,9:14:33 AM,Rebel,17,Y,Y,M,Eleanor,Nudge.ground ,,,0,0
AJ,9/23/22,9:21:05 AM,Atlas,1,Y,Y,M,Bates,Rest.proxim,,,1,0
AJ,9/23/22,9:21:34 AM,Atlas,1,Y,Y,M,Dora,Rest.proxim,,,0,0
AJ,9/23/22,9:21:46 AM,Atlas,1,Y,Y,M,Georgie,Rest.proxim,,,0,0
